PassengerId,Survived
710,
440,
841,
721,
40,0.0
291,
301,
334,
209,
137,1.0
138,0.0
697,
486,
245,
345,
854,
622,
654,
887,
111,1.0
295,
448,
193,
683,
539,
820,
31,0.0
674,
64,0.0
397,
878,
142,1.0
794,
236,
205,
621,
24,0.0
199,
843,
740,
121,0.0
478,
838,
791,
363,
87,1.0
68,0.0
351,
211,
660,
449,
821,
361,
803,
281,
586,
71,1.0
300,
212,
45,1.0
409,
447,
427,
169,0.0
197,
773,
73,0.0
423,
533,
592,
313,
312,
890,
836,
834,
606,
768,
540,
358,
255,
267,
67,0.0
320,
779,
175,0.0
494,
216,
310,
823,
251,
166,0.0
542,
626,
389,
77,1.0
282,
713,
339,
328,
322,
546,
591,
292,
466,
815,
443,
671,
463,
287,
210,
670,
228,
850,
513,
528,
877,
97,0.0
293,
324,
737,
530,
219,
276,
79,1.0
786,
605,
797,
140,1.0
579,
495,
360,
66,1.0
482,
778,
600,
831,
307,
232,
846,
50,0.0
653,
855,
343,
595,
886,
417,
214,
34,0.0
32,0.0
669,
585,
515,
689,
110,0.0
78,1.0
612,
644,
83,1.0
519,
658,
297,
508,
809,
376,
6,1.0
55,0.0
399,
458,
522,
364,
98,0.0
418,
573,
853,
434,
774,
26,0.0
85,0.0
11,0.0
