	PassengerId	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked	Title	Survived
0	1	3	1	4	1	0	4	0	1	0
1	2	1	0	4	1	0	5	2	4	1
2	3	3	0	4	0	0	4	0	3	1
3	4	1	0	4	1	0	5	0	4	1
4	5	3	1	4	0	0	4	0	1	0
5	6	3	1	4	0	0	4	1	1	0
6	7	1	1	5	0	0	4	0	1	0
7	8	3	1	4	3	1	4	0	2	0
8	9	3	0	4	0	2	4	0	4	1
9	10	2	0	4	1	0	4	2	4	1
10	11	3	0	4	1	1	4	0	3	1
11	12	1	0	5	0	0	4	0	3	1
12	13	3	1	4	0	0	4	0	1	0
13	14	3	1	4	1	5	4	0	1	0
14	15	3	0	4	0	0	4	0	3	0
15	16	2	0	5	0	0	4	0	4	1
16	17	3	1	4	4	1	4	1	2	0
17	18	2	1	4	0	0	4	0	1	1
18	19	3	0	4	1	0	4	0	4	0
19	20	3	0	4	0	0	4	2	4	1
20	21	2	1	4	0	0	4	0	1	0
21	22	2	1	4	0	0	4	0	1	1
22	23	3	0	4	0	0	4	1	3	1
23	24	1	1	4	0	0	4	0	1	1
24	25	3	0	4	3	1	4	0	3	0
25	26	3	0	4	1	5	4	0	4	1
26	27	3	1	4	0	0	4	2	1	0
27	28	1	1	4	3	2	5	0	1	0
28	29	3	0	5	0	0	4	1	3	1
29	30	3	1	4	0	0	4	0	1	0
30	31	1	1	4	0	0	4	2	0	0
31	32	1	0	4	1	0	5	2	4	1
32	33	3	0	4	0	0	4	1	3	1
33	34	2	1	5	0	0	4	0	1	0
34	35	1	1	4	1	0	5	2	1	0
35	36	1	1	4	1	0	4	0	1	0
36	37	3	1	4	0	0	4	2	1	1
37	38	3	1	4	0	0	4	0	1	0
38	39	3	0	4	2	0	4	0	3	0
39	40	3	0	4	1	0	4	2	3	1
40	41	3	0	4	1	0	4	0	4	0
41	42	2	0	4	1	0	4	0	4	0
42	43	3	1	4	0	0	4	2	1	0
43	44	2	0	4	1	2	4	2	3	1
44	45	3	0	4	0	0	4	1	3	1
45	46	3	1	4	0	0	4	0	1	0
46	47	3	1	4	1	0	4	1	1	0
47	48	3	0	4	0	0	4	1	3	1
48	49	3	1	4	2	0	4	2	1	0
49	50	3	0	4	1	0	4	0	4	0
50	51	3	1	4	4	1	4	0	2	0
51	52	3	1	4	0	0	4	0	1	0
52	53	1	0	5	1	0	5	2	4	1
53	54	2	0	4	1	0	4	0	4	1
54	55	1	1	5	0	1	5	2	1	0
55	56	1	1	4	0	0	4	0	1	1
56	57	2	0	4	0	0	4	0	3	1
57	58	3	1	4	0	0	4	2	1	0
58	59	2	0	4	1	2	4	0	3	1
59	60	3	1	4	5	2	4	0	2	0
60	61	3	1	4	0	0	4	2	1	0
61	62	1	0	4	0	0	5	0	3	1
62	63	1	1	5	1	0	5	0	1	0
63	64	3	1	4	3	2	4	0	2	0
64	65	1	1	4	0	0	4	2	1	0
65	66	3	1	4	1	1	4	2	2	1
66	67	2	0	4	0	0	4	0	4	1
67	68	3	1	4	0	0	4	0	1	0
68	69	3	0	4	4	2	4	0	3	1
69	70	3	1	4	2	0	4	0	1	0
70	71	2	1	4	0	0	4	0	1	0
71	72	3	0	4	5	2	4	0	3	0
72	73	2	1	4	0	0	5	0	1	0
73	74	3	1	4	1	0	4	2	1	0
74	75	3	1	4	0	0	5	0	1	1
75	76	3	1	4	0	0	4	0	1	0
76	77	3	1	4	0	0	4	0	1	0
77	78	3	1	4	0	0	4	0	1	0
78	79	2	1	4	0	2	4	0	2	1
79	80	3	0	4	0	0	4	0	3	1
80	81	3	1	4	0	0	4	0	1	0
81	82	3	1	4	0	0	4	0	1	1
82	83	3	0	5	0	0	4	1	3	1
83	84	1	1	4	0	0	4	0	1	0
84	85	2	0	4	0	0	4	0	3	1
85	86	3	0	4	3	0	4	0	4	1
86	87	3	1	4	1	3	4	0	1	0
87	88	3	1	4	0	0	4	0	1	0
88	89	1	0	4	3	2	5	0	3	1
89	90	3	1	4	0	0	4	0	1	0
90	91	3	1	4	0	0	4	0	1	0
91	92	3	1	4	0	0	4	0	1	0
92	93	1	1	5	1	0	5	0	1	0
93	94	3	1	4	1	2	4	0	1	0
94	95	3	1	5	0	0	4	0	1	0
95	96	3	1	4	0	0	4	0	1	0
96	97	1	1	5	0	0	4	2	1	0
97	98	1	1	4	0	1	5	2	1	1
98	99	2	0	4	0	1	4	0	4	1
99	100	2	1	4	1	0	4	0	1	0
100	101	3	0	4	0	0	4	0	3	0
101	102	3	1	4	0	0	4	0	1	0
102	103	1	1	4	0	1	5	0	1	0
103	104	3	1	4	0	0	4	0	1	0
104	105	3	1	4	2	0	4	0	1	0
105	106	3	1	4	0	0	4	0	1	0
106	107	3	0	4	0	0	4	0	3	1
107	108	3	1	4	0	0	4	0	1	1
108	109	3	1	4	0	0	4	0	1	0
109	110	3	0	4	1	0	4	1	3	1
110	111	1	1	5	0	0	4	0	1	0
111	112	3	0	4	1	0	4	2	3	0
112	113	3	1	4	0	0	4	0	1	0
113	114	3	0	4	1	0	4	0	3	0
114	115	3	0	4	0	0	4	2	3	0
115	116	3	1	4	0	0	4	0	1	0
116	117	3	1	5	0	0	4	1	1	0
117	118	2	1	4	1	0	4	0	1	0
118	119	1	1	4	0	1	5	2	1	0
119	120	3	0	4	4	2	4	0	3	0
120	121	2	1	4	2	0	5	0	1	0
121	122	3	1	4	0	0	4	0	1	0
122	123	2	1	4	1	0	4	2	1	0
123	124	2	0	4	0	0	4	0	3	1
124	125	1	1	5	0	1	5	0	1	0
125	126	3	1	4	1	0	4	2	2	1
126	127	3	1	4	0	0	4	1	1	0
127	128	3	1	4	0	0	4	0	1	1
128	129	3	0	4	1	1	4	2	3	1
129	130	3	1	5	0	0	4	0	1	0
130	131	3	1	4	0	0	4	2	1	0
131	132	3	1	4	0	0	4	0	1	0
132	133	3	0	5	1	0	4	0	4	0
133	134	2	0	4	1	0	4	0	4	1
134	135	2	1	4	0	0	4	0	1	0
135	136	2	1	4	0	0	4	2	1	0
136	137	1	0	4	0	2	4	0	3	1
137	138	1	1	4	1	0	5	0	1	0
138	139	3	1	4	0	0	4	0	1	0
139	140	1	1	4	0	0	5	2	1	0
140	141	3	0	4	0	2	4	2	4	0
141	142	3	0	4	0	0	4	0	3	1
142	143	3	0	4	1	0	4	0	4	1
143	144	3	1	4	0	0	4	1	1	0
144	145	2	1	4	0	0	4	0	1	0
145	146	2	1	4	1	1	4	0	1	0
146	147	3	1	4	0	0	4	0	1	1
147	148	3	0	4	2	2	4	0	3	0
148	149	2	1	4	0	2	4	0	1	0
149	150	2	1	4	0	0	4	0	0	0
150	151	2	1	5	0	0	4	0	0	0
151	152	1	0	4	1	0	5	0	4	1
152	153	3	1	5	0	0	4	0	1	0
153	154	3	1	4	0	2	4	0	1	0
154	155	3	1	4	0	0	4	0	1	0
155	156	1	1	5	0	1	5	2	1	0
156	157	3	0	4	0	0	4	1	3	1
157	158	3	1	4	0	0	4	0	1	0
158	159	3	1	4	0	0	4	0	1	0
159	160	3	1	4	8	2	5	0	2	0
160	161	3	1	5	0	1	4	0	1	0
161	162	2	0	4	0	0	4	0	4	1
162	163	3	1	4	0	0	4	0	1	0
163	164	3	1	4	0	0	4	0	1	0
164	165	3	1	4	4	1	4	0	2	0
165	166	3	1	4	0	2	4	0	2	1
166	167	1	0	5	0	1	5	0	4	1
167	168	3	0	5	1	4	4	0	4	0
168	169	1	1	5	0	0	4	0	1	0
169	170	3	1	4	0	0	5	0	1	0
170	171	1	1	5	0	0	4	0	1	0
171	172	3	1	4	4	1	4	1	2	0
172	173	3	0	4	1	1	4	0	3	1
173	174	3	1	4	0	0	4	0	1	0
174	175	1	1	5	0	0	4	2	1	0
175	176	3	1	4	1	1	4	0	1	0
176	177	3	1	4	3	1	4	0	2	0
177	178	1	0	5	0	0	4	2	3	0
178	179	2	1	4	0	0	4	0	1	0
179	180	3	1	4	0	0	4	0	1	0
180	181	3	0	4	8	2	5	0	3	0
181	182	2	1	4	0	0	4	2	1	0
182	183	3	1	4	4	2	4	0	2	0
183	184	2	1	4	2	1	4	0	2	1
184	185	3	0	4	0	2	4	0	3	1
185	186	1	1	4	0	0	4	0	1	0
186	187	3	0	4	1	0	4	1	4	1
187	188	1	1	5	0	0	4	0	1	1
188	189	3	1	4	1	1	4	1	1	0
189	190	3	1	4	0	0	4	0	1	0
190	191	2	0	4	0	0	4	0	4	1
191	192	2	1	4	0	0	4	0	1	0
